Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.99     11.76    11.76                             Foam::List<double>::List(Foam::List<double> const&) (List.C:122 @ 5bee0)
  0.00    147.15     0.00      718     0.00     0.00  Foam::DimensionedField<double, Foam::volMesh>::operator=(Foam::DimensionedField<double, Foam::volMesh> const&) (DimensionedField.C:424 @ 65600)
  0.00    147.15     0.00      600     0.00     0.00  void Foam::checkMethod<double>(Foam::fvMatrix<double> const&, Foam::DimensionedField<double, Foam::volMesh> const&, char const*) (fvMatrix.C:1295 @ 5d640)
  0.00    147.15     0.00      600     0.00     0.00  Foam::fvMatrix<double>::solve(Foam::dictionary const&) (fvMatrixSolve.C:56 @ a8eb0)
  0.00    147.15     0.00      590     0.00     0.00  Foam::UPtrList<Foam::fvPatch>::operator[](int) const (UPtrListI.H:103 @ 572d0)
  0.00    147.15     0.00      482     0.00     0.00  void Foam::reduce<bool, Foam::andOp<bool> >(Foam::List<Foam::UPstream::commsStruct> const&, bool&, Foam::andOp<bool> const&, int, int) (PstreamReduceOps.H:48 @ 6f820)
  0.00    147.15     0.00      482     0.00     0.00  Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator*<double, Foam::fvPatchField, Foam::volMesh>(Foam::dimensioned<double> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (GeometricFieldFunctions.C:582 @ b9160)
  0.00    147.15     0.00      480     0.00     0.00  Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::relax(double) (GeometricField.C:949 @ b8880)
  0.00    147.15     0.00      480     0.00     0.00  Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh>::operator+=(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (GeometricField.C:1301 @ 77460)
  0.00    147.15     0.00      480     0.00     0.00  Foam::DimensionedField<double, Foam::surfaceMesh>::operator-=(Foam::DimensionedField<double, Foam::surfaceMesh> const&) (DimensionedField.C:514 @ 69240)
  0.00    147.15     0.00      480     0.00     0.00  Foam::DimensionedField<double, Foam::surfaceMesh>::operator+=(Foam::DimensionedField<double, Foam::surfaceMesh> const&) (DimensionedField.C:513 @ 69030)
  0.00    147.15     0.00      480     0.00     0.00  Foam::surfaceInterpolationScheme<Foam::Vector<double> >::New(Foam::fvMesh const&, Foam::Istream&) (surfaceInterpolationScheme.C:36 @ 8ff80)
  0.00    147.15     0.00      480     0.00     0.00  void Foam::add<double, double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<Foam::typeOfSum<double, double>::type, Foam::fvPatchField, Foam::volMesh>&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (GeometricFieldFunctions.C:971 @ 700f0)
  0.00    147.15     0.00      480     0.00     0.00  Foam::tmp<Foam::fvMatrix<double> > Foam::fvm::laplacian<double, double>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::word const&) (fvmLaplacian.C:208 @ 91920)
  0.00    147.15     0.00      480     0.00     0.00  Foam::List<Foam::Field<Foam::Vector<double> >*>::List(Foam::List<Foam::Field<Foam::Vector<double> >*>&, bool) (List.C:156 @ 72aa0)
  0.00    147.15     0.00      480     0.00     0.00  Foam::Field<Foam::Vector<double> >::operator=(Foam::Field<Foam::Vector<double> > const&) (Field.C:764 @ 5cfe0)
  0.00    147.15     0.00      480     0.00     0.00  Foam::PtrList<Foam::Field<Foam::Vector<double> > >::PtrList(Foam::PtrList<Foam::Field<Foam::Vector<double> > > const&) (PtrList.C:46 @ 6f180)
  0.00    147.15     0.00      480     0.00     0.00  Foam::PtrList<Foam::Field<Foam::Vector<double> > >::PtrList(Foam::PtrList<Foam::Field<Foam::Vector<double> > >&, bool) (PtrList.C:78 @ 72c30)
  0.00    147.15     0.00      480     0.00     0.00  void Foam::subtract<double, double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<Foam::typeOfSum<double, double>::type, Foam::fvPatchField, Foam::volMesh>&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (GeometricFieldFunctions.C:972 @ 6fba0)
  0.00    147.15     0.00      480     0.00     0.00  Foam::tmp<Foam::GeometricField<Foam::typeOfSum<double, double>::type, Foam::fvPatchField, Foam::volMesh> > Foam::operator-<double, double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (GeometricFieldFunctions.C:972 @ b8470)
  0.00    147.15     0.00      480     0.00     0.00  Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator*<double, Foam::fvPatchField, Foam::volMesh>(Foam::dimensioned<double> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (GeometricFieldFunctions.C:582 @ b6be0)
  0.00    147.15     0.00      480     0.00     0.00  Foam::tmp<Foam::GeometricField<Foam::typeOfSum<double, double>::type, Foam::fvPatchField, Foam::volMesh> > Foam::operator+<double, double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (GeometricFieldFunctions.C:971 @ b7460)
  0.00    147.15     0.00      480     0.00     0.00  Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::lduMatrix::H<Foam::Vector<double> >(Foam::Field<Foam::Vector<double> > const&) const (lduMatrixTemplates.C:34 @ 5c920)
  0.00    147.15     0.00      480     0.00     0.00  Foam::tmp<Foam::Field<double> > Foam::lduMatrix::faceH<double>(Foam::Field<double> const&) const (lduMatrixTemplates.C:79 @ 688a0)
  0.00    147.15     0.00      360     0.00     0.00  Foam::fvMatrix<double>::operator-=(Foam::fvMatrix<double> const&) (fvMatrix.C:1056 @ ad650)
  0.00    147.15     0.00      360     0.00     0.00  Foam::fvMatrix<double>::operator+=(Foam::fvMatrix<double> const&) (fvMatrix.C:1022 @ 77870)
  0.00    147.15     0.00      270     0.00     0.00  Foam::Field<double>::writeEntry(Foam::word const&, Foam::Ostream&) const (Field.C:726 @ 9d820)
  0.00    147.15     0.00      240     0.00     0.00  void Foam::checkMethod<Foam::Vector<double> >(Foam::fvMatrix<Foam::Vector<double> > const&, Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh> const&, char const*) (fvMatrix.C:1295 @ 5c7a0)
  0.00    147.15     0.00      240     0.00     0.00  Foam::primitiveEntry::primitiveEntry<Foam::List<Foam::SolverPerformance<Foam::Vector<double> > > >(Foam::keyType const&, Foam::List<Foam::SolverPerformance<Foam::Vector<double> > > const&) (primitiveEntryTemplates.C:32 @ 86750)
  0.00    147.15     0.00      240     0.00     0.00  Foam::surfaceInterpolationScheme<double>::New(Foam::fvMesh const&, Foam::Istream&) (surfaceInterpolationScheme.C:36 @ 90360)
  0.00    147.15     0.00      240     0.00     0.00  Foam::fv::laplacianScheme<Foam::Vector<double>, double>::New(Foam::fvMesh const&, Foam::Istream&) (laplacianScheme.C:44 @ 90740)
  0.00    147.15     0.00      240     0.00     0.00  Foam::fv::convectionScheme<Foam::Vector<double> >::New(Foam::fvMesh const&, Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&, Foam::Istream&) (convectionScheme.C:57 @ 933b0)
  0.00    147.15     0.00      240     0.00     0.00  Foam::fv::ddtScheme<double>::New(Foam::fvMesh const&, Foam::Istream&) (ddtScheme.C:45 @ 90b40)
  0.00    147.15     0.00      240     0.00     0.00  Foam::List<Foam::SolverPerformance<Foam::Vector<double> > >::setSize(int) (List.C:281 @ 7fad0)
  0.00    147.15     0.00      240     0.00     0.00  Foam::List<Foam::Vector<double> >::List(Foam::List<Foam::Vector<double> >&, bool) (List.C:156 @ 67230)
  0.00    147.15     0.00      240     0.00     0.00  void Foam::negate<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&) (GeometricFieldFunctions.C:576 @ 741f0)
  0.00    147.15     0.00      240     0.00     0.00  void Foam::reduce<Foam::Vector<double>, Foam::sumOp<Foam::Vector<double> > >(Foam::List<Foam::UPstream::commsStruct> const&, Foam::Vector<double>&, Foam::sumOp<Foam::Vector<double> > const&, int, int) (PstreamReduceOps.H:48 @ 75680)
  0.00    147.15     0.00      240     0.00     0.00  void Foam::reduce<int, Foam::sumOp<int> >(Foam::List<Foam::UPstream::commsStruct> const&, int&, Foam::sumOp<int> const&, int, int) (PstreamReduceOps.H:48 @ 6d3e0)
  0.00    147.15     0.00      240     0.00     0.00  Foam::fvMatrix<Foam::Vector<double> >::solveSegregated(Foam::dictionary const&) (fvMatrixSolve.C:103 @ 8ab40)
  0.00    147.15     0.00      240     0.00     0.00  Foam::fvMatrix<Foam::Vector<double> >::relax(double) (fvMatrix.C:523 @ 6d620)
  0.00    147.15     0.00      240     0.00     0.00  Foam::fvMatrix<Foam::Vector<double> >::solve(Foam::dictionary const&) (fvMatrixSolve.C:56 @ a7710)
  0.00    147.15     0.00      240     0.00     0.00  Foam::fvMatrix<Foam::Vector<double> >::fvMatrix(Foam::fvMatrix<Foam::Vector<double> > const&) (fvMatrix.C:322 @ 7b720)
  0.00    147.15     0.00      240     0.00     0.00  Foam::fvMatrix<Foam::Vector<double> >::operator-=(Foam::fvMatrix<Foam::Vector<double> > const&) (fvMatrix.C:1056 @ b2990)
  0.00    147.15     0.00      240     0.00     0.00  Foam::Ostream& Foam::operator<< <Foam::SolverPerformance<Foam::Vector<double> > >(Foam::Ostream&, Foam::UList<Foam::SolverPerformance<Foam::Vector<double> > > const&) (UListIO.C:63 @ 865c0)
  0.00    147.15     0.00      240     0.00     0.00  Foam::Ostream& Foam::operator<< <Foam::Vector<double> >(Foam::Ostream&, Foam::SolverPerformance<Foam::Vector<double> > const&) (SolverPerformance.C:221 @ 86420)
  0.00    147.15     0.00      240     0.00     0.00  Foam::Ostream& Foam::operator<< <bool, 3u>(Foam::Ostream&, Foam::FixedList<bool, 3u> const&) (FixedListIO.C:165 @ 862e0)
  0.00    147.15     0.00      240     0.00     0.00  Foam::Ostream& Foam::operator<< <double>(Foam::Ostream&, Foam::UList<double> const&) (UListIO.C:63 @ 9d220)
  0.00    147.15     0.00      240     0.00     0.00  Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator*<Foam::Vector<double> >(Foam::tmp<Foam::Field<double> > const&, Foam::UList<Foam::Vector<double> > const&) (FieldFunctions.C:625 @ 5fc50)
  0.00    147.15     0.00      240     0.00     0.00  Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator*<Foam::Vector<double> >(Foam::UList<double> const&, Foam::UList<Foam::Vector<double> > const&) (FieldFunctions.C:625 @ 5a770)
  0.00    147.15     0.00      240     0.00     0.00  Foam::Istream& Foam::operator>><Foam::SolverPerformance<double> >(Foam::Istream&, Foam::List<Foam::SolverPerformance<double> >&) (ListIO.C:44 @ 84cc0)
  0.00    147.15     0.00      240     0.00     0.00  Foam::Istream& Foam::operator>><bool, 1u>(Foam::Istream&, Foam::FixedList<bool, 1u>&) (FixedListIO.C:42 @ 83fe0)
  0.00    147.15     0.00      240     0.00     0.00  Foam::Istream& Foam::operator>><double>(Foam::Istream&, Foam::SolverPerformance<double>&) (SolverPerformance.C:200 @ 842d0)
  0.00    147.15     0.00      240     0.00     0.00  Foam::tmp<Foam::fvMatrix<Foam::Vector<double> > >::ptr() const (tmpI.H:198 @ 7ba10)
  0.00    147.15     0.00      240     0.00     0.00  void Foam::data::setSolverPerformance<Foam::Vector<double> >(Foam::word const&, Foam::SolverPerformance<Foam::Vector<double> > const&) const (dataTemplates.C:33 @ 8a750)
  0.00    147.15     0.00      216     0.00     0.00  Foam::UList<double>::writeEntry(Foam::Ostream&) const (UListIO.C:35 @ 9d470)
  0.00    147.15     0.00      186     0.00     0.00  Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::Boundary::writeEntry(Foam::word const&, Foam::Ostream&) const (GeometricBoundaryField.C:569 @ 9bbb0)
  0.00    147.15     0.00      186     0.00     0.00  Foam::DimensionedField<double, Foam::volMesh>::writeData(Foam::Ostream&, Foam::word const&) const (DimensionedFieldIO.C:104 @ 9dd10)
  0.00    147.15     0.00      120     0.00     0.00  Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh>::GeometricField(Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (GeometricField.C:446 @ 72120)
  0.00    147.15     0.00      120     0.00     0.00  Foam::fv::convectionScheme<double>::New(Foam::fvMesh const&, Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&, Foam::Istream&) (convectionScheme.C:57 @ 92ac0)
  0.00    147.15     0.00      120     0.00     0.00  Foam::fvMatrix<double>::fvMatrix(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::dimensionSet const&) (fvMatrix.C:267 @ 6ae30)
  0.00    147.15     0.00      120     0.00     0.00  Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::operator-<double, Foam::fvsPatchField, Foam::surfaceMesh>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (GeometricFieldFunctions.C:576 @ acf40)
  0.00    147.15     0.00      107     0.00     0.00  Foam::HashTable<double, Foam::word, Foam::string::hash>::set(Foam::word const&, double const&, bool) (HashTable.C:227 @ 6c720)
  0.00    147.15     0.00       98     0.00     0.00  Foam::fvPatchField<double>::New(Foam::fvPatch const&, Foam::DimensionedField<double, Foam::volMesh> const&, Foam::dictionary const&) (fvPatchFieldNew.C:103 @ 8ed30)
  0.00    147.15     0.00       98     0.00     0.00  Foam::HashTable<Foam::tmp<Foam::fvPatchField<double> > (*)(Foam::fvPatch const&, Foam::DimensionedField<double, Foam::volMesh> const&, Foam::dictionary const&), Foam::word, Foam::string::hash>::find(Foam::word const&) (HashTable.C:141 @ 79070)
  0.00    147.15     0.00       72     0.00     0.00  Foam::fvsPatchField<double>::write(Foam::Ostream&) const (fvsPatchField.C:173 @ 9dbc0)
  0.00    147.15     0.00       36     0.00     0.00  Foam::List<double>::setSize(int) (List.C:281 @ 78920)
  0.00    147.15     0.00       30     0.00     0.00  bool Foam::IOobject::typeHeaderOk<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> >(bool) (IOobjectTemplates.C:35 @ 62f10)
  0.00    147.15     0.00       24     0.00     0.00  Foam::Ostream& Foam::operator<< <Foam::Vector<double> >(Foam::Ostream&, Foam::UList<Foam::Vector<double> > const&) (UListIO.C:63 @ 9c010)
  0.00    147.15     0.00       24     0.00     0.00  Foam::UList<Foam::Vector<double> >::writeEntry(Foam::Ostream&) const (UListIO.C:35 @ 9c2b0)
  0.00    147.15     0.00       21     0.00     0.00  Foam::Istream& Foam::operator>><int>(Foam::Istream&, Foam::List<int>&) (ListIO.C:44 @ 624c0)
  0.00    147.15     0.00       17     0.00     0.00  Foam::List<Foam::Vector<double> >::setSize(int) (List.C:281 @ 79170)
  0.00    147.15     0.00       14     0.00     0.00  Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::readFields(Foam::dictionary const&) (GeometricField.C:49 @ 8fc10)
  0.00    147.15     0.00       14     0.00     0.00  Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::readFields() (GeometricField.C:73 @ b3a90)
  0.00    147.15     0.00       14     0.00     0.00  Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::readOldTimeIfPresent() (GeometricField.C:141 @ b4690)
  0.00    147.15     0.00       14     0.00     0.00  Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::Boundary::readField(Foam::DimensionedField<double, Foam::volMesh> const&, Foam::dictionary const&) (GeometricBoundaryField.C:32 @ 8f360)
  0.00    147.15     0.00       14     0.00     0.00  Foam::DimensionedField<double, Foam::volMesh>::readField(Foam::dictionary const&, Foam::word const&) (DimensionedFieldIO.C:33 @ 81530)
  0.00    147.15     0.00       14     0.00     0.00  Foam::List<Foam::fvPatchField<double>*>::setSize(int) (List.C:281 @ 78bf0)
  0.00    147.15     0.00       14     0.00     0.00  Foam::Field<double>::Field(Foam::word const&, Foam::dictionary const&, int) (Field.C:273 @ 80f00)
  0.00    147.15     0.00       14     0.00     0.00  Foam::PtrList<Foam::fvPatchField<double> >::setSize(int) (PtrList.C:131 @ 78e10)
  0.00    147.15     0.00       12     0.00     0.00  Foam::VectorSpace<Foam::Vector<double>, double, (unsigned char)3>::VectorSpace(Foam::Istream&) (VectorSpace.C:34 @ 5a1b0)
  0.00    147.15     0.00       12     0.00     0.00  Foam::fvPatchField<Foam::Vector<double> >::New(Foam::fvPatch const&, Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh> const&, Foam::dictionary const&) (fvPatchFieldNew.C:103 @ 8cff0)
  0.00    147.15     0.00       12     0.00     0.00  Foam::HashTable<Foam::tmp<Foam::fvPatchField<Foam::Vector<double> > > (*)(Foam::fvPatch const&, Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh> const&, Foam::dictionary const&), Foam::word, Foam::string::hash>::find(Foam::word const&) (HashTable.C:141 @ 79820)
  0.00    147.15     0.00       12     0.00     0.00  Foam::fvPatchField<Foam::Vector<double> >::write(Foam::Ostream&) const (fvPatchField.C:362 @ 555b0)
  0.00    147.15     0.00       12     0.00     0.00  Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::Boundary::writeEntry(Foam::word const&, Foam::Ostream&) const (GeometricBoundaryField.C:569 @ 9b310)
  0.00    147.15     0.00       12     0.00     0.00  Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh>::Boundary::writeEntry(Foam::word const&, Foam::Ostream&) const (GeometricBoundaryField.C:569 @ 9b8d0)
  0.00    147.15     0.00       12     0.00     0.00  Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh>::writeData(Foam::Ostream&, Foam::word const&) const (DimensionedFieldIO.C:104 @ 9c7f0)
  0.00    147.15     0.00       12     0.00     0.00  Foam::DimensionedField<double, Foam::surfaceMesh>::writeData(Foam::Ostream&, Foam::word const&) const (DimensionedFieldIO.C:104 @ 9d970)
  0.00    147.15     0.00       12     0.00     0.00  Foam::Field<Foam::Vector<double> >::writeEntry(Foam::word const&, Foam::Ostream&) const (Field.C:726 @ 9c660)
  0.00    147.15     0.00        8     0.00     0.00  Foam::List<Foam::List<int> >::List(int) (List.C:39 @ 70820)
  0.00    147.15     0.00        4     0.00     0.00  Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::operator+=(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (GeometricField.C:1301 @ 65cf0)
  0.00    147.15     0.00        4     0.00     0.00  Foam::List<int>::List(int) (List.C:39 @ 57240)
  0.00    147.15     0.00        2     0.00     0.00  __static_initialization_and_destruction_0(int, int) [clone .constprop.733] (sofcFoam.C:167 @ 27820)
  0.00    147.15     0.00        2     0.00     0.00  Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::readFields(Foam::dictionary const&) (GeometricField.C:49 @ 8ded0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::readFields() (GeometricField.C:73 @ adec0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::readOldTimeIfPresent() (GeometricField.C:141 @ ae8f0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::Boundary::readField(Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh> const&, Foam::dictionary const&) (GeometricBoundaryField.C:32 @ 8d620)
  0.00    147.15     0.00        2     0.00     0.00  Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::GeometricField(Foam::word const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (GeometricField.C:539 @ b3d10)
  0.00    147.15     0.00        2     0.00     0.00  Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh>::readField(Foam::dictionary const&, Foam::word const&) (DimensionedFieldIO.C:33 @ 823d0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:231 @ b1a10)
  0.00    147.15     0.00        2     0.00     0.00  Foam::List<Foam::List<int> >::setSize(int) (List.C:281 @ 70aa0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::List<Foam::DynamicList<int, 0u, 2u, 1u> >::~List() (List.C:269 @ 708e0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::List<Foam::edge>::setSize(int) (List.C:281 @ 70970)
  0.00    147.15     0.00        2     0.00     0.00  Foam::List<Foam::fvPatchField<Foam::Vector<double> >*>::setSize(int) (List.C:281 @ 793a0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::List<int>::List(Foam::List<int>&, bool) (List.C:156 @ 7f1c0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::Field<Foam::Vector<double> >::Field(Foam::word const&, Foam::dictionary const&, int) (Field.C:273 @ 82030)
  0.00    147.15     0.00        2     0.00     0.00  Foam::PtrList<Foam::fvPatchField<Foam::Vector<double> > >::setSize(int) (PtrList.C:131 @ 795c0)
  0.00    147.15     0.00        2     0.00     0.00  bool Foam::IOobject::typeHeaderOk<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> >(bool) (IOobjectTemplates.C:35 @ 631f0)
  0.00    147.15     0.00        2     0.00     0.00  bool Foam::IOobject::typeHeaderOk<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> >(bool) (IOobjectTemplates.C:35 @ 63080)
  0.00    147.15     0.00        2     0.00     0.00  Foam::HashTable<double, Foam::word, Foam::string::hash>::iteratorBase::iteratorBase(Foam::HashTable<double, Foam::word, Foam::string::hash> const*) (HashTableI.H:173 @ 6c180)
  0.00    147.15     0.00        2     0.00     0.00  Foam::PrimitivePatch<Foam::face, Foam::SubList, Foam::Field<Foam::Vector<double> > const&, Foam::Vector<double> >::calcMeshData() const (PrimitivePatchMeshData.C:39 @ 95960)
  0.00    147.15     0.00        2     0.00     0.00  Foam::PrimitivePatch<Foam::face, Foam::SubList, Foam::Field<Foam::Vector<double> > const&, Foam::Vector<double> >::calcAddressing() const (PrimitivePatchAddressing.C:51 @ 965e0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::PrimitivePatch<Foam::face, Foam::SubList, Foam::Field<Foam::Vector<double> > const&, Foam::Vector<double> >::calcPointFaces() const (PrimitivePatchPointAddressing.C:82 @ 961c0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::PrimitivePatch<Foam::face, Foam::SubList, Foam::Field<Foam::Vector<double> > const&, Foam::Vector<double> >::calcFaceNormals() const (PrimitivePatchMeshData.C:357 @ 76bb0)
  0.00    147.15     0.00        2     0.00     0.00  Foam::List<Foam::objectHit> Foam::PrimitivePatch<Foam::face, Foam::SubList, Foam::Field<Foam::Vector<double> > const&, Foam::Vector<double> >::projectFaceCentres<Foam::PrimitivePatch<Foam::face, Foam::SubList, Foam::Field<Foam::Vector<double> > const&, Foam::Vector<double> > >(Foam::PrimitivePatch<Foam::face, Foam::SubList, Foam::Field<Foam::Vector<double> > const&, Foam::Vector<double> > const&, Foam::Field<Foam::Vector<double> > const&, Foam::intersection::algorithm, Foam::intersection::direction) const (PrimitivePatchProjectPoints.C:289 @ 97730)
  0.00    147.15     0.00        2     0.00     0.00  Foam::PatchToPatchInterpolation<Foam::PrimitivePatch<Foam::face, Foam::SubList, Foam::Field<Foam::Vector<double> > const&, Foam::Vector<double> >, Foam::PrimitivePatch<Foam::face, Foam::SubList, Foam::Field<Foam::Vector<double> > const&, Foam::Vector<double> > >::calcFaceAddressing() const (CalcPatchToPatchWeights.C:236 @ 98170)
  0.00    147.15     0.00        1     0.00     0.00  Foam::List<Foam::word>::List(int) (List.C:39 @ 5b800)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.01% of 147.15 seconds

index % time    self  children    called     name
                0.36    0.00     120/720         Foam::tmp<Foam::fvMatrix<double> > Foam::fvm::SuSp<double>(Foam::DimensionedField<double, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (fvmSup.C:210 @ 6b4c1) [87]
                0.36    0.00     120/720         Foam::tmp<Foam::fvMatrix<double> > Foam::operator-<double>(Foam::tmp<Foam::fvMatrix<double> > const&, Foam::DimensionedField<double, Foam::volMesh> const&) (fvMatrix.C:1932 @ 720af) [88]
                1.42    0.00     480/720         Foam::tmp<Foam::fvMatrix<double> > Foam::operator==<double>(Foam::tmp<Foam::fvMatrix<double> > const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (fvMatrix.C:1534 @ 71f9a) [21]
[14]     1.4    2.13    0.00     720         Foam::Field<double>::operator+=(Foam::tmp<Foam::Field<double> > const&) (Field.C:848 @ 5fe80) [14]
                0.00    0.00    3000/104809      Foam::tmp<Foam::Field<double> >::operator()() const (tmpI.H:272 @ 5f5d0) [392]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.6    0.83    0.00                 Foam::Field<double>::operator-=(Foam::tmp<Foam::Field<double> > const&) (Field.C:849 @ 5fae0) [43]
                0.00    0.00     960/104809      Foam::tmp<Foam::Field<double> >::operator()() const (tmpI.H:272 @ 5f5d0) [392]
-----------------------------------------------
                0.24    0.00     720/720         Foam::fvMatrix<Foam::Vector<double> >::solveSegregated(Foam::dictionary const&) (fvMatrixSolve.C:200 @ 8b2f0) [110]
[109]    0.2    0.24    0.00     720         non-virtual thunk to Foam::fvMesh::comm() const (fvMesh.H:279 @ 53510) [109]
-----------------------------------------------
                                                 <spontaneous>
[114]    0.1    0.22    0.00                 Foam::UPtrList<Foam::autoPtr<Foam::diffusivityModels::diffusivityModel> >::operator[](int) (UPtrListI.H:119 @ 58f30) [114]
-----------------------------------------------
